rjd	vrad	svrad	fwhm	sig_fwhm	bis_span	sig_bis_span	contrast	sig_contrast	s_mw	sig_s	ha	sig_ha	na	sig_na	ca	sig_ca	rhk	sig_rhk	prot_m08	sig_prot_m08	prot_n84	sig_prot_n84	berv
---	----	-----	----	--------	--------	------------	--------	------------	----	-----	--	------	--	------	--	------	---	-------	--------	------------	--------	------------	----
58537.53770973021	48830.979962	0.894407	6330.143967	8.952175	38.148888	1.264883	49.532876	0.000001	0.370009	0.003463	0.320012	0.000941	0.125282	0.000381	0.292149	0.001946	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.541687
58537.655514969956	48833.848987	0.994823	6330.289387	8.952381	36.923112	1.406892	49.534854	0.000001	0.361645	0.004563	0.319619	0.001096	0.125383	0.000455	0.301957	0.002447	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.774297
58539.53381296992	48824.538870	1.006177	6324.786911	8.944599	39.072933	1.422949	49.567807	0.000001	0.365675	0.004130	0.315898	0.001174	0.126309	0.000481	0.289897	0.002225	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.731440
58539.63749864977	48827.221252	0.949261	6330.105029	8.952120	37.243343	1.342458	49.539306	0.000001	0.363286	0.004426	0.310345	0.000979	0.124967	0.000408	0.285119	0.002348	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.940237
58540.519110320136	48823.516188	0.953547	6322.201886	8.940944	40.872011	1.348519	49.572767	0.000001	0.358569	0.004276	0.320384	0.001019	0.125242	0.000419	0.283389	0.002280	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.788280
58541.53174364986	48823.287542	1.037298	6319.975818	8.937796	35.285578	1.466960	49.606146	0.000001	0.349234	0.004764	0.316447	0.001204	0.124521	0.000490	0.273119	0.002459	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.903114
58542.520061119925	48820.895902	0.962013	6314.788094	8.930459	38.871010	1.360492	49.628547	0.000001	0.360481	0.004132	0.315524	0.001080	0.124452	0.000438	0.283518	0.002219	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.955725
58543.6359860301	48819.630756	0.936849	6315.170082	8.930999	39.564734	1.324904	49.637284	0.000001	0.345039	0.004272	0.310236	0.000953	0.122987	0.000388	0.273580	0.002262	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.256178
58544.53540821979	48818.605459	0.978961	6311.992994	8.926506	36.812053	1.384460	49.652843	0.000001	0.348666	0.004022	0.316291	0.001122	0.125032	0.000446	0.275750	0.002154	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.131952
58544.638596110046	48818.384456	1.131000	6312.903263	8.927793	42.066964	1.599475	49.661996	0.000001	0.329050	0.007021	0.318172	0.001279	0.126109	0.000526	0.262354	0.003319	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.324351
58545.5748792002	48820.095406	0.933164	6313.141510	8.928130	36.757873	1.319693	49.665623	0.000001	0.342543	0.003688	0.318235	0.001030	0.124792	0.000407	0.275709	0.002016	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.276338
58546.529181819875	48823.096005	1.052080	6310.001033	8.923689	35.219660	1.487866	49.675026	0.000001	0.341212	0.004793	0.319823	0.001271	0.124543	0.000504	0.269447	0.002471	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.234859
58546.62517106999	48823.423794	1.014194	6312.117609	8.926682	38.211074	1.434286	49.670629	0.000001	0.337369	0.005071	0.312461	0.001121	0.123965	0.000463	0.274565	0.002596	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.416445
58566.58595403982	48829.823804	0.986981	6330.883240	8.953221	39.103883	1.395802	49.515232	0.000001	0.368283	0.005547	0.316600	0.001007	0.124927	0.000415	0.291972	0.002809	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.160784
58567.57162132999	48829.840284	1.063589	6327.592063	8.948567	43.841307	1.504142	49.547636	0.000001	0.357331	0.006202	0.317701	0.001104	0.126278	0.000457	0.282215	0.003047	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.075816
58568.57305177022	48825.663794	1.096718	6329.231489	8.950885	37.603641	1.550993	49.551636	0.000001	0.352974	0.006343	0.319631	0.001171	0.125818	0.000482	0.275930	0.003087	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-19.004528
58569.57529261988	48826.263602	1.152640	6320.644088	8.938741	36.404138	1.630079	49.566208	0.000001	0.337618	0.007095	0.314422	0.001243	0.124931	0.000514	0.263072	0.003342	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.928414
58570.491080760024	48828.217588	1.202607	6321.519387	8.939978	35.636997	1.700743	49.587006	0.000001	0.355703	0.005474	0.319910	0.001516	0.126685	0.000605	0.281613	0.002761	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.713014
58570.57205954986	48827.808894	1.129431	6317.925477	8.934896	38.670929	1.597256	49.577644	0.000001	0.356202	0.005923	0.317954	0.001297	0.124756	0.000525	0.278038	0.002922	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-18.840314
58601.50878085988	48828.988119	1.134444	6352.952596	8.984432	38.705623	1.604346	49.348849	0.000001	0.366891	0.006268	0.317197	0.001237	0.126847	0.000504	0.289012	0.003091	0.000000	0.000001	undefined	0.000001	undefined	0.000001	-13.645720
58691.929740619846	48823.360290	0.999199	6375.280209	9.016008	40.144675	1.413080	49.160977	0.000001	0.405707	0.003450	0.333487	0.001123	0.129824	0.000437	0.317895	0.001960	0.000000	0.000001	undefined	0.000001	undefined	0.000001	13.294828
58693.93883395009	48823.012682	1.774603	6370.710499	9.009545	45.646490	2.509668	49.007789	0.000001	0.382007	0.011690	0.328571	0.002089	0.130343	0.000857	0.297027	0.005141	0.000000	0.000001	undefined	0.000001	undefined	0.000001	13.738706
58694.93777965987	48821.807168	0.966510	6364.036719	9.000107	43.587214	1.366852	49.198872	0.000001	0.384269	0.003300	0.326914	0.001050	0.126794	0.000411	0.300491	0.001868	0.000000	0.000001	undefined	0.000001	undefined	0.000001	13.961620
58695.937478459906	48824.694591	1.016717	6361.480968	8.996493	41.948149	1.437855	49.214125	0.000001	0.379414	0.003504	0.328070	0.001154	0.127840	0.000450	0.299887	0.001961	0.000000	0.000001	undefined	0.000001	undefined	0.000001	14.179525
58697.93581337994	48831.730635	2.162624	6343.861729	8.971575	30.014478	3.058412	49.171885	0.000001	0.313630	0.014935	0.336935	0.002675	0.132387	0.001079	0.249180	0.006126	0.000000	0.000001	undefined	0.000001	undefined	0.000001	14.603809
58699.936280849855	48832.863284	1.047219	6356.864216	8.989964	32.482988	1.480991	49.244887	0.000001	0.377089	0.003857	0.328661	0.001203	0.129998	0.000473	0.296346	0.002105	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.006859
58700.94309000019	48836.765831	0.901958	6364.196411	9.000333	29.626171	1.275562	49.058687	0.000001	0.393092	0.002607	0.333031	0.000965	0.130569	0.000375	0.307871	0.001566	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.191332
58701.92334754998	48839.353620	1.090069	6360.903837	8.995676	29.286561	1.541590	49.227885	0.000001	0.397493	0.004210	0.333390	0.001299	0.129920	0.000503	0.307260	0.002275	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.410581
58702.885329320095	48836.032073	0.975363	6370.762195	9.009618	36.653239	1.379372	49.186738	0.000001	0.403732	0.003631	0.337411	0.001100	0.129858	0.000429	0.314174	0.002032	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.642472
58702.91983339982	48835.302673	0.943490	6374.249647	9.014550	31.623306	1.334296	49.163244	0.000001	0.411017	0.003192	0.338016	0.001065	0.130983	0.000413	0.321155	0.001850	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.601408
58704.88531710021	48834.079036	1.294468	6374.914920	9.015491	33.303193	1.830654	49.153960	0.000001	0.402425	0.006727	0.332034	0.001604	0.131348	0.000646	0.314586	0.003310	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.003281
58704.93320155004	48832.528371	1.335838	6381.164202	9.024329	37.719838	1.889161	49.064745	0.000001	0.400485	0.006981	0.338825	0.001673	0.131159	0.000668	0.306185	0.003383	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.939595
58705.90334525006	48837.083516	1.296365	6386.229150	9.031492	42.363300	1.833336	49.101410	0.000001	0.401679	0.006124	0.337955	0.001647	0.130244	0.000638	0.313980	0.003076	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.155268
58706.87679986982	48837.121594	1.631327	6387.727740	9.033611	37.908158	2.307044	49.089418	0.000001	0.392432	0.010082	0.343948	0.002062	0.128715	0.000802	0.294214	0.004551	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.355388
58706.93536781985	48835.840360	1.194266	6387.825384	9.033749	37.799987	1.688947	48.984071	0.000001	0.429775	0.005347	0.342359	0.001505	0.130017	0.000579	0.334301	0.002793	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.275778
58707.87641383987	48832.717043	2.591497	6394.749062	9.043541	42.117169	3.664930	49.020903	0.000001	0.344538	0.019026	0.348257	0.003104	0.135176	0.001254	0.269462	0.007706	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.520925
58707.93196083	48834.896189	0.929420	6385.564028	9.030551	37.889351	1.314399	49.037434	0.000001	0.420513	0.002917	0.337684	0.001008	0.129905	0.000392	0.326215	0.001727	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.444684
58708.93348520994	48831.081997	0.995146	6386.207426	9.031461	42.996290	1.407349	49.067081	0.000001	0.424660	0.003556	0.340376	0.001142	0.130451	0.000443	0.331131	0.002026	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.601053
58717.85055488022	48819.674353	1.035519	6373.011676	9.012800	38.853493	1.464445	49.172034	0.000001	0.409661	0.003925	0.334976	0.001187	0.129553	0.000462	0.317719	0.002173	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.960249
58717.9091115701	48821.517215	0.958591	6370.549366	9.009317	41.375489	1.355652	49.203601	0.000001	0.399120	0.003100	0.334055	0.001061	0.130048	0.000411	0.310036	0.001794	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.875866
58718.865684309974	48823.967094	0.953016	6373.168900	9.013022	39.913575	1.347769	49.220943	0.000001	0.409058	0.003165	0.332296	0.001072	0.129609	0.000417	0.318397	0.001837	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.057569
