,autosamples,automin,automean,automax,factor
0,400,18.5155708854287,21.569742504418297,23.852208512933437,40
1,800,32.97254452343276,39.29448583797338,47.37553553979357,40
2,1200,45.182964200833716,51.44856687633007,60.76858250616033,40
3,1600,54.85815652695925,59.49459029168471,67.3540747489429,40
4,2000,61.36744363431906,64.85594902807803,71.23494204743818,40
5,2400,64.95878606051335,70.86494971233905,77.8852132567355,40
6,2800,70.9809301215247,76.82040970847851,86.9460981010299,40
7,3200,74.53283459319641,81.3608434165814,90.82834223080813,40
8,3600,77.8859888586903,85.04282425387848,94.59172471384741,40
9,4000,79.01412838734956,88.46272916755002,101.09419119365906,40
10,4400,82.51841867410872,90.29426021231333,105.3193080014751,40
11,4800,82.95596464411345,91.26943912517041,107.98411265252538,40
12,5200,84.34032258164599,92.7861348992092,110.46592989865238,40
13,5600,86.14561276152062,93.82508485762307,109.57433048012378,40
14,6000,88.03985638355898,94.93848911982789,108.93831154369767,40
