,autosamples,automin,automean,automax,factor
0,400,17.634176433639386,20.483981312860465,22.762363047692983,40
1,800,31.568113236878986,37.01701493705236,41.422925959810485,40
2,1200,41.65915109153394,49.41895291901412,56.905656620610465,40
3,1600,48.770204435525955,58.42498113492953,68.80221911584644,40
4,2000,53.864748002133496,65.62631016544707,77.15282505633031,40
5,2400,54.86483709024491,70.9127350331686,82.58525565965607,40
6,2800,54.956675663227415,75.60052560412208,91.10907517484407,40
7,3200,60.53928709570373,79.7120444227592,99.40124923406972,40
8,3600,65.8627418874019,81.99450735673192,102.40290071884291,40
9,4000,69.0409398416979,84.90777585945425,104.64110868778329,40
10,4400,74.52077849786461,87.52068336192967,102.9195018472376,40
11,4800,79.96305520515921,90.17220309653895,100.06273835194742,40
12,5200,81.65600552469695,92.36041063067718,101.06256103455283,40
13,5600,83.19254935468611,94.24519862389194,102.19740053144544,40
14,6000,85.20613402757758,96.32539080276963,102.3894697381908,40
15,6400,85.70163063433452,97.88577389686606,104.42614553980454,40
16,6800,86.72862203966166,98.79484936931684,105.89338278170575,40
17,7200,90.12104216563607,99.71284532289575,105.33380605524482,40
18,7600,93.09160182728178,100.59015005281874,104.5977574013898,40
19,8000,93.56028883621212,101.04383006054412,104.38207015311556,40
20,8400,91.67805086973353,101.42024441457397,106.24069933601155,40
21,8800,96.88906177951202,102.82902381365307,108.01191790840286,40
22,9200,100.67611188215426,104.26149055632631,109.27708983355083,40
23,9600,101.38841828664442,104.76625038117123,109.07161029689168,40
24,10000,100.23538960545214,105.00115297320987,108.74447670876118,40
25,10400,99.97728197166829,106.19547539720148,111.49381961563523,40
26,10800,101.3816924138912,107.25789070007887,113.88744469743436,40
27,11200,104.612586717799,107.79518260809115,111.22332399013936,40
28,11600,105.65054549994902,109.03352537822269,112.12361574271206,40
29,12000,106.51968245232571,109.97171103773063,113.78181014062436,40
30,12400,106.64692247868034,110.531042007449,114.17172335161258,40
31,12800,105.02699959489125,111.67528857162411,118.19546935712417,40
32,13200,104.4274689331893,112.47226375798542,122.9217493877225,40
33,13600,104.27213008824202,113.33368291960917,129.95518754535706,40
34,14000,103.49840511268268,113.72250078461622,130.20472674846445,40
35,14400,104.59054474208264,114.99963783822902,134.60532119402674,40
36,14800,106.13816879488981,116.13965592285369,137.1734087479519,40
37,15200,107.69786099437493,116.91225710430669,137.50456885953932,40
38,15600,108.63892608980775,117.17857799878064,136.67954512521777,40
39,16000,110.08646583772013,118.22263807640469,140.63119992938744,40
40,16400,110.76620132508417,118.58144142466075,140.99988120075272,40
41,16800,111.4332586686968,119.54584470891908,147.30094451910605,40
42,17200,112.58438069623467,121.02558679347675,157.13040870404063,40
43,17600,113.67429513561422,122.10089466072333,162.3571287742764,40
44,18000,114.65368402659435,123.09782632520248,168.5699905468316,40
45,18400,114.36661005583244,124.05609616171053,175.31665332812383,40
46,18800,113.85782552917459,124.99176500840764,182.74198099763214,40
47,19200,114.27728127717265,126.09312531427648,190.17752103857939,40
48,19600,114.78992522239642,127.05818954344815,197.3954238006947,40
49,20000,114.00331461102492,127.70405965142429,202.55627937446184,40
50,20400,113.52849339118404,128.4142399512193,207.7636767909768,40
51,20800,113.33518940933523,128.91734842760226,210.74247977479436,40
52,21200,113.59971764531667,129.19625555892645,212.7350736393183,40
53,21600,114.59418718453321,129.77205836769002,215.5856732582696,40
54,22000,115.23286169631704,130.60440910377199,218.26420948826072,40
55,22400,115.28860744454335,131.24314847809035,220.91964736864622,40
56,22800,114.60010132082958,131.9584347871578,224.6542164375376,40
57,23200,113.83604851230547,132.62011165217916,228.9481111530703,40
58,23600,112.77873901014672,133.02466518818784,232.54494117205334,40
