,autosamples,automin,automean,automax,factor
0,400,19.098904374176712,21.832280783507734,25.003517848823442,40
1,800,31.55883206641277,37.49860179774153,41.34381819729352,40
2,1200,41.51531132182578,48.728325534804966,52.98654652748531,40
3,1600,50.92913727481443,58.19880096690239,62.93047307419503,40
4,2000,59.95418630030892,68.35314034006122,73.14314105802997,40
5,2400,68.82111017724826,75.41157803890661,83.46402869797892,40
6,2800,70.69083405940611,80.00604723019954,88.4366040313223,40
7,3200,73.22655321564362,83.36444160733993,90.53501550471209,40
8,3600,75.25404527099879,85.82536306868083,95.07600381008717,40
9,4000,77.12953295793847,88.41314212486347,99.84218204922357,40
10,4400,79.79047541714039,90.205019674526,101.74260304875888,40
11,4800,81.37576895128214,91.23772630482027,102.39551050231488,40
12,5200,84.52183406286957,92.3834176693231,103.35392245086942,40
13,5600,85.2308539772236,93.54537343700547,104.97927695696302,40
14,6000,87.7879197994349,95.47348627573841,106.47729010368411,40
15,6400,88.9471910625924,97.36472782242112,108.59530408429885,40
16,6800,90.01920062721965,98.24128898558186,107.64286364828943,40
17,7200,90.44096800784037,99.61572341884444,109.81663855024773,40
18,7600,92.97434680962834,101.22033226210095,110.24566914890741,40
19,8000,95.6158727779559,102.28783809666403,110.64097071378154,40
20,8400,96.58439451378187,102.93703025243684,112.29937481370821,40
