,autosamples,automin,automean,automax,factor
0,400,21.242038435696223,25.436266031599914,29.91133791207231,40
1,800,41.922904081047335,49.41447968896785,60.42197271062848,40
2,1200,63.22447795529942,71.99930999089555,89.25175745479237,40
3,1600,83.10485052837531,93.5968883219635,116.10204666380217,40
4,2000,100.97841761567666,113.68388383740744,141.2861575591355,40
5,2400,117.2517625172497,132.52194481593406,163.46414677703146,40
6,2800,132.688009959674,150.85697045678964,184.97914512808964,40
7,3200,148.3528451408024,169.14597650528881,206.93937105585766,40
8,3600,161.50319995477352,187.3847465440264,227.9639359183497,40
9,4000,175.6874962888167,205.31446278150955,246.3570881633446,40
10,4400,190.64316725419508,222.52654686667262,264.7909381857647,40
11,4800,206.92792617265346,239.00585490138414,281.05308051232953,40
12,5200,223.51684589686553,255.18702536548048,293.9665278162407,40
13,5600,238.833077388464,270.6224458922928,306.74301622512854,40
14,6000,253.69066482846273,285.88274675366347,321.47395839996744,40
15,6400,269.3013597236167,300.56613975644785,332.92768665223105,40
16,6800,284.211864539052,314.7750892744309,345.4140436605998,40
17,7200,299.46244014617105,329.14483663674173,364.9639804098705,40
18,7600,313.35894907162265,343.0756460087018,382.4684710683045,40
19,8000,325.36883685397754,356.7788310114562,398.6139321496462,40
20,8400,335.6282842241967,370.6048087157528,413.159891661221,40
21,8800,343.720013491553,384.169768623204,428.31294028354597,40
22,9200,351.2525497490791,397.33990190919445,443.463726296706,40
23,9600,360.0544873257138,410.43786885923953,459.9186891230145,40
24,10000,369.71256222195365,423.2480223088257,476.4621608172107,40
25,10400,379.9001519624124,435.8206043142941,492.06400355637,40
26,10800,385.71284659000673,448.25262582695933,508.30727674892904,40
27,11200,391.3175186501232,460.2224031518269,524.3223572586584,40
28,11600,394.4003533716139,471.93600439789157,539.5113861824485,40
29,12000,399.33457003079616,483.46064157663915,555.302321277354,40
30,12400,405.5555242897854,494.38058371419146,571.1533941715803,40
31,12800,412.41902450447583,505.42811233056835,586.2589613398458,40
32,13200,421.27235211989364,516.6133978746423,601.3979977957272,40
33,13600,425.94115933157997,527.1318994863262,615.6629929928652,40
34,14000,430.82761796885114,537.5268893667504,628.8834218237056,40
35,14400,435.2142178012052,547.563567426634,641.5403611186183,40
36,14800,437.17180393426327,557.4160175489277,653.7592099822447,40
37,15200,438.78799898009817,567.1089123051726,666.4041308481503,40
38,15600,436.0649323960061,576.2652057439376,678.7155738058755,40
39,16000,431.60806904342274,584.65417245881,691.3397341090797,40
40,16400,428.19210566657506,592.8356180170309,703.5971654163758,40
41,16800,427.7558472321556,600.9912646736044,715.9980975778795,40
42,17200,429.8001143259219,609.0656424551735,726.2936922834766,40
43,17600,436.1881156301388,617.3779623620534,735.7762896442895,40
44,18000,445.9303099230489,625.8094939132937,745.4407965898877,40
45,18400,456.8557303684283,634.2657158463206,756.1439943783101,40
46,18800,468.01277629170613,642.4867122209387,767.7348222157913,40
47,19200,478.67602900448736,650.4378807289437,779.8644099806015,40
48,19600,487.3349765981368,657.6772442872318,790.7409915922942,40
49,20000,462.53230719821556,663.1623273056232,802.3883349771776,40
50,20400,452.2648668042548,670.4667235761242,815.1775548464595,40
51,20800,446.6118146124623,677.7626964718235,828.3037602581828,40
52,21200,443.15085105473514,684.7863680561675,842.2116465834767,40
53,21600,439.15711787522366,691.5854713865547,856.0455514822942,40
54,22000,437.42356568548905,698.2629161305902,869.0379357084054,40
55,22400,438.36134453342567,705.0993088545437,881.3209065380904,40
56,22800,438.2955918283024,711.7487512859767,892.5123161398632,40
57,23200,438.0458031043332,718.4038320615754,905.2000286475354,40
58,23600,438.2228343613315,725.1004753835465,917.7988450225366,40
59,24000,440.4139351627347,731.9754884725554,929.3714813488122,40
60,24400,442.55427316808345,738.5290270601588,939.5357964492583,40
61,24800,445.10716418048133,744.8890725986448,949.5585517842196,40
62,25200,447.59097052941104,750.9437158283181,958.9220846177939,40
63,25600,450.9341168454947,756.8546652750163,968.8498610524532,40
64,26000,454.91243960697324,762.6068107995533,978.2679604677052,40
65,26400,457.1339854465832,768.0591636359006,986.7422873927529,40
66,26800,460.32248817507315,773.635312203577,994.9060777878461,40
67,27200,464.67485221551857,779.1913913799675,1004.0953195997902,40
68,27600,469.1636936439415,784.5163965799993,1015.5403933942101,40
69,28000,473.74039891442925,789.8546419732867,1027.798460225925,40
70,28400,478.1624524538042,795.4035448721453,1040.5627542643845,40
71,28800,483.3258884539353,801.0542837390092,1052.591295478181,40
72,29200,488.2788493405411,806.5566564960315,1063.3392056196676,40
73,29600,492.03322874388147,811.7881195378775,1073.5464032490038,40
74,30000,497.19876705315437,816.9351173155985,1083.0382098448576,40
75,30400,502.80370352056144,822.0696310493123,1091.0166266665979,40
76,30800,508.38663526498425,827.274511618211,1100.1675518446123,40
77,31200,513.425628271772,832.2923480455098,1108.5838394647162,40
78,31600,518.5202361422112,837.6800603770843,1118.3372600176654,40
79,32000,524.0505905427583,843.1177651766969,1127.3862380451078,40
80,32400,529.6711245524679,848.4977306299195,1136.0060600477598,40
81,32800,534.6107812039032,854.2680481360798,1144.8048151952448,40
82,33200,538.986766209355,860.1480010175695,1151.874315558814,40
83,33600,543.2910989617692,865.797285063992,1159.5295529195141,40
84,34000,548.5356787199552,871.0964733900825,1167.5740092296119,40
85,34400,553.7922767001075,876.0879663943299,1175.151931244968,40
86,34800,558.5849044893649,881.0813151205691,1182.7195623383793,40
87,35200,563.948199472442,886.0705454569053,1190.7486169131332,40
88,35600,568.6063505986339,890.6750353946974,1199.5688757506532,40
89,36000,572.4401698789665,894.974830455967,1209.1157387688793,40
90,36400,576.1564802843102,898.9924408621479,1218.9377831083634,40
91,36800,580.1825117187215,903.0617115669577,1227.9978054892663,40
92,37200,585.2996398638873,907.2141460937154,1236.9125057804326,40
93,37600,590.3510192205573,911.3199867638074,1244.807034554721,40
94,38000,595.2958567021898,915.1222288723856,1251.5479409482432,40
95,38400,600.2827419635589,918.9067799140628,1259.1614348878068,40
96,38800,605.5805112540629,922.5720949442502,1266.5831583765464,40
97,39200,611.5281424617918,926.2663745908527,1273.7778955019799,40
98,39600,617.8499277772006,929.9950681361437,1280.076665154792,40
99,40000,623.9823339914722,933.755679715065,1285.1894695230349,40
100,40400,630.5242991799787,937.34020558258,1289.7245747615343,40
101,40800,636.47686489576,940.9168983155762,1295.1994850187539,40
102,41200,642.6180387934388,944.6128477040329,1302.2626675990414,40
103,41600,648.8936287535456,948.2171474637632,1309.9291071210646,40
104,42000,655.7269178573766,952.155902578971,1318.3705132002888,40
105,42400,662.3007904119972,956.3269994854477,1326.7008172638089,40
106,42800,668.385038930441,960.5029017269082,1334.6620838550125,40
107,43200,673.9385754933473,964.5591602814618,1342.2687875232816,40
108,43600,679.5256296535727,968.4281901132169,1350.2122838538628,40
109,44000,684.8519371894599,972.3640899435538,1358.5943526216072,40
110,44400,691.1117664407867,976.2030552637622,1365.7835477034553,40
111,44800,696.9506159359964,980.1384901285866,1374.135296408139,40
112,45200,702.6103145532713,984.2161708874801,1382.94951243782,40
113,45600,708.1815038627886,988.2103979212598,1391.3338898263262,40
114,46000,712.7745709356769,991.9933788260662,1398.2610761641552,40
115,46400,717.3885363912825,995.6765032715103,1404.3518208781531,40
116,46800,722.172809068492,999.2557597762609,1410.1510104160263,40
117,47200,726.7251337965055,1002.6026442632277,1415.9162340334622,40
118,47600,731.9789449901394,1005.9441725047024,1421.69856834449,40
119,48000,737.2296605280645,1009.5890915059039,1427.35454176554,40
120,48400,743.0507757156984,1013.0516198899327,1432.8394821185555,40
121,48800,748.6706723874382,1016.6347644240722,1437.8559795023684,40
122,49200,753.7139019121083,1020.6198907142004,1443.190975517769,40
123,49600,759.2162523806065,1024.6551565428479,1448.6188987009884,40
124,50000,764.5698291981948,1028.496586311149,1454.7569572300333,40
125,50400,770.2877269137348,1032.006816853132,1460.5686011241526,40
126,50800,776.1264637723568,1035.2376623246305,1465.8967832450287,40
127,51200,781.19716468524,1038.3127501831793,1470.752454133125,40
128,51600,786.0702299024189,1041.3607548769448,1475.604457532115,40
129,52000,789.5794749849002,1044.1502040903722,1479.5575647642636,40
