,autosamples,automin,automean,automax,factor
0,400,22.584744885198173,26.480294852598856,29.42655813767379,40
1,800,43.36102159773169,50.28044089396352,56.25189346349255,40
2,1200,63.04083349485087,71.15998229447747,82.0250889747125,40
3,1600,77.34552679102569,90.43655932386362,104.78425241280196,40
4,2000,88.74886182697236,108.09374505691929,126.63357716604084,40
5,2400,100.1369171007448,123.75986045221526,150.79696508241815,40
6,2800,111.37459653311703,138.03883083957635,170.51268138072462,40
7,3200,123.79107740051766,152.00920293130676,188.13639667336125,40
8,3600,136.3716062268072,165.79540521297497,209.22924735329377,40
9,4000,149.3797180361694,179.5061983560494,226.93360650179847,40
10,4400,158.48350344341043,192.67316123402628,240.99587702302048,40
11,4800,159.6939925508548,205.60632298343992,253.0511516264845,40
12,5200,164.59427737607513,217.76804910129178,264.56108911773924,40
13,5600,169.36267159794644,229.15219781860307,274.396255832749,40
14,6000,176.8297003298433,240.48354243045267,282.8814152263751,40
15,6400,186.44962781372035,251.9750992046905,292.74207655877274,40
16,6800,192.96304427763693,262.6068071834927,306.10951180383086,40
17,7200,200.75807101833874,272.5021593615166,318.01851209067445,40
18,7600,207.96130663180793,281.942935255462,334.3638901482299,40
19,8000,215.78873209011016,290.97843791952704,348.02582133501744,40
20,8400,218.15680311287014,298.9840060943112,360.4508874971962,40
21,8800,219.12753450459326,306.8507365703433,371.17043500139886,40
22,9200,221.54754529196845,314.8078644500989,381.45675416120724,40
23,9600,227.22458449998064,322.4575443746583,390.7410809225341,40
24,10000,233.58548589116992,330.5701523758727,402.3294624656483,40
25,10400,241.91957932693614,338.97343729088425,414.1431982840713,40
26,10800,249.6195918912257,346.6680578825968,424.0998367898486,40
27,11200,257.14473558085774,354.76951256646566,434.7075735525379,40
28,11600,263.79967127255054,362.4230377157342,444.5944624332173,40
29,12000,272.6245975597213,369.92277029068805,453.35529181290144,40
30,12400,281.37080919422795,376.96631814684775,459.219757624991,40
31,12800,291.46665822857466,383.99038925171686,466.1870881951614,40
32,13200,302.4867083091904,390.0690698926982,472.70636418484025,40
33,13600,315.9428966046905,396.13735729562654,478.9798990810272,40
34,14000,320.9104188936543,401.5440279049786,486.54132536169936,40
35,14400,325.34084537181013,406.49356457406634,498.52143407772377,40
36,14800,329.91386047597473,410.9041313944592,511.0101459164732,40
37,15200,337.7029378242692,415.4589835303576,523.3581368743362,40
38,15600,347.74878228441196,420.07438457895455,533.5318175014849,40
39,16000,360.1995336414066,424.8811659589649,542.741641359861,40
40,16400,362.11434137164383,430.3292973957397,553.5909004247189,40
41,16800,365.1978158691055,436.15427566511215,564.5475629423491,40
42,17200,367.0519057562488,441.43420936640103,574.1355120525028,40
43,17600,368.44733242504606,446.4586864431972,582.1345970086267,40
44,18000,369.7880516509797,451.5040139367744,588.3491769452717,40
45,18400,372.3683472051438,456.4347537668112,594.99462505469,40
46,18800,376.58438771977967,461.4630465889591,602.0856809088767,40
47,19200,380.9600700774403,466.2006222806423,608.0784131173655,40
48,19600,385.35859270400476,470.73448909718496,614.4169815227573,40
49,20000,389.18694968897745,474.7509524135871,619.1771654317192,40
50,20400,393.6319022729099,478.8745500138374,623.9565378345872,40
51,20800,398.2853162099267,482.96383695633034,629.8173546872348,40
52,21200,402.6055013348047,486.65603043881697,635.6733527188183,40
53,21600,407.721221863907,490.6590940492513,639.4898295943544,40
54,22000,412.36802033974413,494.5333747908367,643.3544856136936,40
55,22400,416.5612136256322,498.57196845071314,646.355497792431,40
56,22800,419.78868149891815,502.6200508214888,649.7433105069513,40
57,23200,421.9872689290261,506.26539408115354,654.3913873114375,40
58,23600,423.709805721378,509.74334754692023,657.4791010916869,40
59,24000,425.4441194970746,513.288475962615,660.3621611729683,40
60,24400,427.6119616630409,516.5728111466675,662.6242211020608,40
61,24800,428.13013040707733,519.546642142519,663.5595207287009,40
62,25200,428.92533860642425,522.1814861005406,665.9582028188818,40
63,25600,429.862038499861,524.5301821599683,667.6134199965448,40
64,26000,430.78371317514444,526.561831166013,668.9143163630745,40
65,26400,431.51483572495226,528.9417275933655,669.9990901669358,40
66,26800,433.7777499546254,531.5661504376714,671.8983693759109,40
67,27200,436.5758757565241,534.1884610839768,674.2227116120595,40
68,27600,439.16368631955964,536.6023049834081,675.705128131388,40
