,autosamples,automin,automean,automax,factor
0,400,19.55115368365173,25.11271975580832,31.476627522737104,40
1,800,39.563042552887865,48.82188405359333,59.74078987610431,40
2,1200,58.355515762937756,71.21504198007058,87.70818864659606,40
3,1600,75.36312879918037,92.54955818381734,118.43681188495475,40
4,2000,92.22608159868231,112.635633199798,147.92406634332318,40
5,2400,106.38493151925371,130.90365899356925,171.37684550163553,40
6,2800,120.15439810756932,148.19960116675526,196.78136980946286,40
7,3200,133.52230946862161,165.2716952608524,221.73737698245546,40
8,3600,148.18879863276865,181.81757391959223,242.586527879799,40
9,4000,161.1539577332602,197.71311202924235,261.9522546975781,40
10,4400,173.8906810048571,213.39465846707546,280.1081017046372,40
11,4800,186.0387233629048,229.07599858204446,299.36873745848396,40
12,5200,195.1231866194534,243.11570856709355,316.7062421856518,40
13,5600,200.71936389510404,255.92566887093304,330.07735340535027,40
14,6000,205.9819918197518,268.35161235076686,343.5284587421212,40
15,6400,211.63570822208996,279.9609326494664,356.4541254641879,40
16,6800,217.13104267262253,291.26518496173236,369.9169102499772,40
17,7200,226.16106715589981,302.50608505263324,385.1119258223235,40
18,7600,231.37903272933872,313.39011000900734,397.1809063792859,40
19,8000,233.73852456866965,323.79674390457484,408.358538344385,40
20,8400,237.38052448798598,334.26534595149974,420.349206440644,40
21,8800,239.00501026825665,344.08577764847405,431.0793097928059,40
22,9200,244.56250140582497,354.41186435991335,442.5841566485658,40
23,9600,249.51505569623004,364.48959209258186,452.9472614299323,40
24,10000,253.26163495157385,374.25743771521115,461.36227984325905,40
25,10400,259.29288147706677,384.13873956741907,469.56903943699507,40
26,10800,265.55265033585016,393.47344056685733,479.47549461076864,40
27,11200,273.383046861781,402.6628362560196,487.7904096354952,40
28,11600,280.20455598059664,411.7779257729565,497.01165684641603,40
29,12000,289.5647075476905,421.01904798372533,505.7729368486259,40
30,12400,295.77191725055525,429.94741366992355,513.5790224146018,40
31,12800,302.68850272073564,438.2753851717862,521.9430234632658,40
32,13200,307.85505686055126,446.13438848777236,530.3344833501411,40
33,13600,318.49036755109273,454.7160850091329,538.8053606828964,40
34,14000,324.64084030191185,462.99394760875043,548.7478257829025,40
35,14400,332.11934489280446,471.55537631952274,560.5617741863356,40
36,14800,340.1534028926934,480.0532229227646,571.7392187818682,40
37,15200,349.00397150728435,488.0849665590244,582.5916305060475,40
38,15600,355.74550252378725,495.46782819275893,592.3580817769327,40
39,16000,365.08927720263836,503.01595138509697,601.5735752452767,40
40,16400,375.36206764298583,510.8058048385514,611.9704329711548,40
41,16800,383.4943979003676,518.3346998826107,621.3890158245479,40
42,17200,389.79715452901894,525.6368989360859,629.2782889532723,40
43,17600,396.2689319845714,532.6642640524043,637.2689336296793,40
44,18000,400.5704215203034,539.4736361254213,650.3700754913175,40
45,18400,407.32248825424125,546.3097943089826,662.3791771435261,40
46,18800,415.11319500256934,553.61665077266,674.1787151672231,40
47,19200,424.43839365757856,560.956077789224,685.0460162294387,40
48,19600,434.9029559402816,568.1334360122003,695.1770447885024,40
49,20000,446.6061898196298,575.2922255776712,706.2686656121625,40
50,20400,450.60138797976515,582.2911678016824,717.7382688982251,40
51,20800,456.47492665200116,589.9837528008038,729.9988465541592,40
52,21200,464.4616588413487,597.8368255908396,741.3570669268194,40
53,21600,470.2587725649214,605.0692145383221,752.0342230823985,40
54,22000,476.71717767741217,612.4160368975655,763.1491725740657,40
55,22400,483.9731690633613,619.6087753055448,772.8366443341273,40
56,22800,489.17000253124667,626.4668176726243,782.7138282613199,40
57,23200,492.206787919918,633.010259946326,792.4765489599993,40
58,23600,495.988847839017,639.1420389085247,802.0504692394912,40
59,24000,501.182819764515,645.2280649387367,810.7237490249354,40
60,24400,505.6157633641609,651.231770184965,819.3226693599141,40
61,24800,508.38420857761537,657.2683944963536,828.909001545797,40
62,25200,513.7175946764434,663.5313984081724,838.9689606659051,40
63,25600,517.1533282584011,669.4183483555062,849.7631166500729,40
64,26000,521.9685645321492,674.9618449625896,859.0412613134441,40
65,26400,527.7340185116517,680.495450630686,868.2655848943895,40
66,26800,531.1928668664133,685.8092234654657,876.951864604129,40
67,27200,531.7329631274375,690.7608714838827,885.4851259832512,40
68,27600,533.0800345204284,695.7313804705203,892.5517237066839,40
69,28000,537.2669550021619,700.9036184057621,899.5376601119897,40
70,28400,537.7015276791617,706.1088737584856,906.5447036789818,40
71,28800,535.7229387234626,711.5255181828538,914.3448087913346,40
72,29200,536.6678940505236,716.9503623813075,922.2695149745045,40
73,29600,539.3373085769762,722.5508878925536,930.3660069087058,40
74,30000,544.5781990804437,728.3971473737463,937.5702488592789,40
75,30400,550.1557102858629,734.2897014351519,944.8018586900465,40
76,30800,555.8793459416556,740.0491017740727,951.8870607807514,40
