,autosamples,automin,automean,automax,factor
0,400,18.03651388897095,20.777306602727148,23.55269996089559,40
1,800,31.85248973426303,35.528808524413826,40.53995180277748,40
2,1200,40.55133702546573,46.48807807451665,54.45949414313385,40
3,1600,50.17229407348837,54.97456719394508,62.91553634142683,40
4,2000,57.799219261941346,62.53024332001061,69.37060260955067,40
5,2400,64.57268959402776,68.88345727065312,73.39260741352803,40
6,2800,69.54138464749194,74.02130610777358,77.46472787149396,40
7,3200,68.54209811198055,78.2419603823472,83.82098238692502,40
8,3600,70.52546091431883,80.75035211579036,87.03490014595474,40
9,4000,72.73924046194985,83.83829291997702,91.42996001270991,40
10,4400,76.06803680444531,87.07511522026822,95.17132734651067,40
11,4800,79.58503678696918,89.13209179216851,97.68591599350236,40
12,5200,84.35778420708262,90.98647662701507,100.16051272441896,40
13,5600,87.1237783459739,92.20217190392584,100.59868976722932,40
14,6000,88.55072628883121,93.4703109476331,100.92882144867369,40
15,6400,88.74312567498659,94.91236292953695,102.00829127279354,40
16,6800,88.55895711567447,96.28503474103746,103.86046341808634,40
17,7200,89.84328979031727,97.417841303149,105.2300547455993,40
18,7600,89.50635432901798,97.92512097986793,103.92497429415889,40
