,autosamples,automin,automean,automax,factor
0,400,19.921948947689163,22.085960815245667,24.64738776147167,40
1,800,32.38117820453646,38.34545169130704,45.34588087132122,40
2,1200,44.661734095670326,50.00074916787574,63.24151001333888,40
3,1600,49.34368593937375,58.869631998832105,77.75438600864373,40
4,2000,54.07167598042049,66.0325649735227,87.31839096517399,40
5,2400,55.88483706048792,70.07181240849584,86.79179222493714,40
6,2800,60.261451630547256,73.64548227713556,83.90273503729505,40
7,3200,66.00495815454424,77.10133166010995,85.34989651323781,40
8,3600,72.87618708277323,80.63438430436388,89.05246076647792,40
9,4000,78.93645150493121,84.13166576800901,91.56307966310202,40
10,4400,80.2775629805684,87.7631588397468,95.02385165580361,40
11,4800,83.17849910414213,90.79012476608636,97.33987563037942,40
12,5200,86.0724357694996,93.43806842912159,100.80577269347125,40
13,5600,88.21409307264021,95.95099135569093,103.59256970145802,40
14,6000,89.57068054919411,98.13899694153419,106.91739206209728,40
15,6400,91.54109745491317,99.71342872235253,110.21940413085585,40
16,6800,93.04987354411952,99.81817054580515,111.78832582795154,40
17,7200,93.3939864606685,99.43130043614707,110.58105110908025,40
