,autosamples,automin,automean,automax,factor
0,400,20.05524526232225,22.051028190541725,26.131114372093613,40
1,800,36.19992395563079,40.95717343374701,44.124725586540485,40
2,1200,52.52711963347609,59.08903088883909,62.61675963066082,40
3,1600,67.06224219491607,75.65784306248703,81.84454130972733,40
4,2000,80.90543237309215,90.17636312434699,98.41693696175508,40
5,2400,91.55659388983125,102.6308143747688,115.11285991938767,40
6,2800,101.51582143322837,114.96077555914648,134.34660210590283,40
7,3200,110.45237492819162,125.98175315289261,151.80445029359655,40
8,3600,116.61014431407013,135.62676011331936,167.1543762095234,40
9,4000,118.82077834882841,144.1523580749101,178.7624935425942,40
10,4400,125.26821883957554,152.83433132666343,188.21180093891917,40
11,4800,132.3548987207844,160.6409488861493,196.93968928285682,40
12,5200,135.3516829935399,168.0391957785271,205.05547870122578,40
13,5600,138.54170858489542,176.68374879325066,215.40335615613637,40
14,6000,144.72025140176206,185.47730045238552,225.52165564951508,40
15,6400,150.54373299285908,192.61542558708757,234.1443252855746,40
16,6800,156.92849944564338,198.39258824936226,243.3139009908168,40
17,7200,159.62744609298795,203.49792271980348,254.91373324471718,40
18,7600,160.28480768224,207.37714857299375,266.41314941275834,40
19,8000,164.39097109213355,211.1931816998167,277.3052694101417,40
20,8400,167.4182093931062,214.7931244348855,285.5979961248997,40
21,8800,168.7073669401447,219.09311470137126,292.1805970538653,40
22,9200,169.89035893400123,222.99799055450754,299.45931379482465,40
23,9600,169.5548823608604,226.62838471676966,306.4816368043002,40
24,10000,169.58981444986057,230.39708427188182,313.826274480014,40
25,10400,171.66105753081854,233.9322123295352,317.1654677897061,40
26,10800,174.54822748507306,236.55685186449668,318.394755597206,40
27,11200,177.05478418716112,238.81431638238712,323.17168091891364,40
28,11600,179.3635833922727,241.08367532337243,328.6524517430889,40
29,12000,181.92641929161704,243.84781041854532,334.21747371752383,40
30,12400,185.3735926575201,246.80241177861106,338.3963043318174,40
31,12800,188.58926445558427,249.11263226083608,341.1302763280316,40
32,13200,191.04636849870707,251.3314361277212,344.00371124818264,40
33,13600,193.64299571084675,253.26445349518187,347.98396466978664,40
34,14000,197.29686493158044,256.0302774965547,352.5929075670528,40
35,14400,200.68764881081842,258.65374074989904,358.17640151126716,40
36,14800,202.28166614609805,261.4749658169396,365.07209773969845,40
