,autosamples,automin,automean,automax,factor
0,400,20.502969381823007,25.269467715773366,30.951440126196264,40
1,800,40.88353935618286,50.20538857706824,61.23700980236629,40
2,1200,60.527678697120606,74.09139789353311,88.93138693395665,40
3,1600,81.44956183591636,97.66424826924053,116.37415578759384,40
4,2000,100.19895184978257,120.06440044794913,141.71260399386128,40
5,2400,117.5170919427029,142.06562141233857,168.23037273935486,40
6,2800,134.3374366628694,163.6807421447133,192.59590533529231,40
7,3200,150.14425503058087,185.1108015059212,215.63211797810865,40
8,3600,166.16090881626886,206.1743348489826,237.40256370054666,40
9,4000,181.9012325658271,227.01115451218385,259.8850282751768,40
10,4400,196.32219473295027,247.45497636673636,284.8257683910105,40
11,4800,209.41190152705317,267.6238006082161,308.89269605711445,40
12,5200,222.39121351704256,287.1514188413821,332.5425540207716,40
13,5600,235.37062946281884,306.649196456316,356.83940338898014,40
14,6000,248.88801500017675,326.4030366804358,381.68814465370525,40
15,6400,262.60522408425777,345.48121482345084,405.0340830131066,40
16,6800,277.3570324814186,364.94716138687204,427.7653913888286,40
17,7200,291.60747860838734,384.01435488269505,449.44264401956457,40
18,7600,306.3578154701287,402.6375069266406,469.87153467483654,40
19,8000,321.02463126949544,421.2950957514046,491.17805310965394,40
20,8400,335.7255230545806,439.65954453331744,511.36833894558254,40
21,8800,351.0464963684042,457.47180530947685,530.7590577389359,40
22,9200,366.7962640985635,475.5045351196623,550.588622149272,40
23,9600,382.9934683173183,493.60087366103375,569.5803960506134,40
24,10000,398.83872801348673,511.7933310975197,587.7468226229329,40
25,10400,414.87854855320506,529.989286867199,605.5994583641142,40
26,10800,430.21171114380786,547.8325782828085,622.9801260157911,40
27,11200,446.2000692346482,565.3712682845993,639.7820141652097,40
28,11600,462.2402493683237,582.8265443632614,656.0864320804689,40
29,12000,478.423882476733,600.5111336983384,672.1813230929308,40
30,12400,495.0992895283348,617.9748584207305,687.7966750203432,40
31,12800,511.9394573644737,635.2817159449579,706.9769124163494,40
32,13200,529.0874316928392,652.4131352788544,726.8269611520356,40
33,13600,546.3261582803365,669.3832032952647,746.8541678527058,40
34,14000,563.5680383465365,686.1149975974644,766.3922069283977,40
35,14400,580.9962831670479,702.7103799886916,784.4049627755683,40
36,14800,597.8796095544393,719.1954132482133,802.1043172797658,40
37,15200,613.7735536606185,735.5854255565813,820.1616619019285,40
38,15600,628.8644938415447,751.809432352798,838.4282585438996,40
39,16000,637.7213976921423,767.8732169237505,855.6767957886743,40
40,16400,646.303364044289,784.0284500546292,873.806882520769,40
41,16800,655.1205600338357,800.3839652625544,890.8328497025759,40
42,17200,663.070542094091,816.477537715432,907.3398540983887,40
43,17600,671.0438360056237,832.6235096298153,923.4132785737321,40
44,18000,679.4632940301249,848.7874099959798,939.5550582553421,40
45,18400,687.5812812227643,864.7324889331292,955.5389512529708,40
46,18800,696.9108895981291,880.534067151287,972.1695405455702,40
47,19200,706.3230203727163,896.5145598321367,989.3267946046778,40
48,19600,717.5903623764772,912.8116192566333,1009.7842601806009,40
49,20000,729.7928977186912,929.4389507150263,1030.2887011124992,40
50,20400,742.3710602148905,945.92351343285,1050.378292453561,40
51,20800,752.415845003784,961.9927620247286,1069.1530539198227,40
52,21200,761.7045573139229,977.8519265771824,1087.3312660171564,40
53,21600,770.5888150076278,993.4502450819056,1105.1163589894413,40
54,22000,779.3269299028733,1008.8607685555344,1123.0768205895388,40
55,22400,787.97018130499,1024.0566938257305,1140.7836418578486,40
56,22800,796.5360293418706,1039.0860198305056,1158.1357736881273,40
57,23200,806.7204822075834,1054.150094232908,1174.7254700857882,40
58,23600,819.8348593002999,1069.2796972651365,1191.081765729252,40
59,24000,828.3814704223041,1084.1233519484151,1207.3097313816418,40
60,24400,839.7774657381055,1099.3357667562336,1222.592463724809,40
61,24800,850.1975182699414,1114.6005609854014,1237.9412921489054,40
62,25200,856.1784763800287,1129.4889898524002,1253.9942415474989,40
63,25600,862.7741490599324,1144.1781378256176,1269.567573749017,40
64,26000,873.0907914052098,1159.0868034091457,1284.5588796320408,40
65,26400,885.1720736781765,1173.8456912940092,1300.078641452043,40
66,26800,894.7466641469917,1188.3143721108022,1317.6593853404556,40
67,27200,904.5207932259198,1202.8329577647662,1334.846028932285,40
68,27600,916.6198801631976,1217.5355277224057,1350.7996766021881,40
69,28000,928.5326586366152,1231.9322997132008,1366.328586545289,40
70,28400,939.7696135410657,1246.2065659060163,1381.6952835207385,40
71,28800,949.7719172556542,1260.1840938267599,1396.3571281777201,40
72,29200,957.3006390427219,1273.5786420908194,1409.76406264928,40
73,29600,961.10773383054,1286.4374381285404,1423.3363057730203,40
74,30000,964.5056230029717,1299.437581950738,1437.3493683458262,40
75,30400,967.5611898027288,1312.3057462510299,1450.3900714174677,40
76,30800,967.5548816416549,1324.776075614096,1462.1256337959203,40
77,31200,966.9800980435613,1337.0608232114623,1474.3841355577772,40
78,31600,967.3869548078161,1349.3300181364643,1489.5480064554351,40
79,32000,969.7232353695663,1361.7990173742921,1504.9636338355713,40
80,32400,973.8388186263568,1373.865839422238,1520.131443186294,40
81,32800,979.9098822896741,1386.081222105601,1535.5993121495303,40
82,33200,987.0976725877649,1398.2771736215966,1549.7089965873254,40
83,33600,995.7031289945414,1410.6007239366263,1564.2414174566334,40
84,34000,1002.5554615695447,1422.6425128099215,1578.9559727060173,40
85,34400,1009.7859461516748,1434.9848719450204,1594.0795125220645,40
86,34800,1016.6981926979605,1447.2451760923805,1609.3061082589186,40
87,35200,1022.8809837346832,1459.5680055721155,1624.9872522664375,40
88,35600,1028.9875091728773,1472.05092983134,1639.8340679069731,40
89,36000,1034.8280652241833,1484.6920781058552,1654.3701140722105,40
90,36400,1041.7755247642942,1497.584611305855,1668.6637231499424,40
91,36800,1050.3652378457598,1510.3356278292404,1683.1152202625622,40
92,37200,1057.5545712352452,1522.794142474805,1697.9840906592476,40
93,37600,1062.6728484448638,1535.2264630281145,1713.5979515135452,40
94,38000,1067.2164815530996,1547.7555522555733,1729.090397853827,40
95,38400,1070.4117830379082,1560.0652460986753,1746.6145455011488,40
96,38800,1074.2273361861376,1572.2861394747667,1764.5887691475443,40
97,39200,1077.3381683973398,1584.1490148463943,1782.5582641397423,40
98,39600,1077.3846951416824,1595.6395683581695,1799.915938778906,40
99,40000,1074.1467570589984,1606.8732676173931,1816.633798833005,40
100,40400,1069.9839000890195,1617.7414121641502,1832.3500976068124,40
101,40800,1065.4663753405343,1628.527774690587,1848.527801316564,40
102,41200,1062.5591189067748,1639.65914636619,1864.9369429320905,40
103,41600,1061.0455980812446,1650.8781468556756,1881.8171813929698,40
104,42000,1062.0694937821195,1662.0622039777963,1898.0556407495828,40
105,42400,1066.7266762778777,1673.5819903009995,1916.4557836200838,40
106,42800,1074.9229163171128,1685.4135963457136,1935.3511276332385,40
107,43200,1084.0318973581775,1697.2867037749295,1953.5679014000289,40
108,43600,1091.1882889127758,1709.1522801599592,1971.6329325639651,40
109,44000,1095.481024916731,1720.8651993689243,1989.777962279965,40
110,44400,1100.5654700211333,1732.6718043850967,2008.5107925911143,40
111,44800,1108.021097679068,1744.909644863828,2026.9728676089915,40
112,45200,1117.9788368852903,1757.4269375517347,2045.7530198969255,40
113,45600,1129.7029784577612,1770.0655248070266,2063.7138735794815,40
114,46000,1142.3653593693116,1782.8072150838425,2082.094306570921,40
115,46400,1157.345526960524,1795.5768660673734,2099.963907931997,40
116,46800,1171.7287619920878,1808.4326133676627,2117.140171556007,40
117,47200,1184.6147853429302,1821.186739387873,2133.878267662606,40
118,47600,1198.950765179771,1833.880272431332,2150.6829070828585,40
119,48000,1214.2474296333075,1846.7653546247507,2169.173321104163,40
120,48400,1228.6813923721675,1859.757436217897,2188.183981050811,40
121,48800,1243.4616869790468,1872.658868204953,2207.143890404485,40
122,49200,1257.239494917917,1885.442282846566,2226.3743186034117,40
123,49600,1272.5182128115107,1898.5056410356456,2246.254003663074,40
124,50000,1291.3340133125946,1911.7060945594098,2265.820796735298,40
125,50400,1309.1758540531675,1924.807805603485,2285.005417438122,40
126,50800,1326.693847552612,1937.956253660251,2304.180245650662,40
127,51200,1343.99273159338,1950.94348716255,2323.3966919277905,40
128,51600,1361.9180184537788,1963.981849303182,2341.929537598044,40
129,52000,1379.796411433451,1976.9614540968162,2360.839495720009,40
130,52400,1395.3757750339666,1989.8545694098273,2379.4657578782103,40
131,52800,1409.930346681437,2002.8596009836842,2398.775098723141,40
132,53200,1424.0473195760478,2016.0013459190027,2417.8345654106934,40
133,53600,1437.4940735805812,2028.8382968664582,2436.6687805767174,40
134,54000,1449.3593489737075,2041.5309318977654,2455.0281407587163,40
135,54400,1460.0105820243298,2054.130785310589,2473.820207766174,40
136,54800,1469.5797581078327,2066.980329141142,2491.9949613126428,40
137,55200,1476.5493521412388,2079.7732473401825,2510.054151274839,40
138,55600,1484.8600944923294,2092.7878253182616,2528.313725599008,40
139,56000,1491.3521997087048,2105.519820747604,2546.127012335879,40
140,56400,1497.0200364569737,2118.2789669332424,2563.0544283618583,40
141,56800,1501.3139126283718,2130.999970763297,2580.9821944784944,40
142,57200,1507.4438088466761,2143.893221829279,2599.5680445855214,40
143,57600,1516.9944141539402,2156.874307578272,2619.21902900612,40
144,58000,1527.9622487363442,2169.774121834794,2637.628791894884,40
145,58400,1540.099333942013,2182.6207085230044,2656.457680633588,40
146,58800,1551.5507408304038,2195.3344773161584,2674.8197131187635,40
147,59200,1560.9989940985472,2207.73837583438,2692.1748742666314,40
148,59600,1570.9762247419242,2220.1529226195626,2708.498753343327,40
149,60000,1580.239186950394,2232.4469575586927,2725.539645571825,40
150,60400,1587.5205872349654,2244.45249405978,2741.719811737526,40
151,60800,1598.0809093033397,2256.4861269417515,2757.2767989482168,40
152,61200,1609.0016611577491,2268.608408569869,2772.6174897815204,40
153,61600,1622.1281068465478,2281.078281231597,2788.4018362217207,40
154,62000,1634.8667077031062,2293.533905525357,2804.2271053043987,40
155,62400,1649.298179328765,2306.1429021496565,2821.1836921021873,40
156,62800,1663.320582641183,2318.6582886170527,2838.3657697220883,40
157,63200,1675.3104983224887,2330.823955811409,2855.1005228615945,40
158,63600,1687.9518718267668,2342.9507598930045,2872.1462597672034,40
159,64000,1700.0595588970739,2354.8102049444124,2888.9002877163184,40
160,64400,1710.8444413747577,2366.4403675725375,2904.9253730696555,40
161,64800,1721.562054992832,2377.9932712259456,2920.5643451089672,40
162,65200,1733.187388931649,2389.6229456073143,2936.0545472863882,40
163,65600,1743.773913221618,2401.0221155658414,2951.237883830745,40
164,66000,1753.711134739844,2412.413876116296,2965.7810118669195,40
165,66400,1762.7874604637013,2423.646860898942,2978.923045719807,40
166,66800,1773.0000822029758,2435.093524353698,2992.576063031096,40
167,67200,1784.3409851512317,2446.620412299965,3005.3185662085743,40
168,67600,1795.9734786245942,2458.0869770638456,3017.766165930794,40
169,68000,1806.9467537142075,2469.551648290114,3030.078651338164,40
170,68400,1818.3840682411715,2481.0518744895458,3041.9740915524267,40
171,68800,1830.6038718438695,2492.6661846344664,3054.092089712297,40
172,69200,1842.6866052963494,2504.3232126000294,3066.2563218118694,40
173,69600,1855.712389347134,2516.0036580386827,3077.347236791609,40
174,70000,1868.9356334920242,2527.6863881241848,3088.3135951012305,40
175,70400,1881.9727798359302,2539.2972375004915,3098.365246972927,40
176,70800,1896.1498894586546,2550.851844034917,3107.469055462571,40
177,71200,1909.9445382992353,2562.1188409918527,3116.738475771518,40
178,71600,1923.5277629691786,2573.261605887598,3127.534324654197,40
179,72000,1936.9189192011968,2584.12986844183,3138.018174065158,40
180,72400,1950.5788486742356,2594.996176510182,3149.7750006762267,40
