,autosamples,automin,automean,automax,factor
0,400,17.8641641303812,25.10576674170649,28.56357226411686,40
1,800,35.87421053636096,49.24968525634567,55.84083035639937,40
2,1200,54.256201471763646,73.28577726894592,82.88261164174209,40
3,1600,73.28404538136854,97.27765153040228,110.8622209617526,40
4,2000,92.599131514628,120.85226523384252,138.12492399790398,40
5,2400,110.87265169254422,143.97791794835638,165.59955084112144,40
6,2800,126.32062138017525,166.48087841553607,192.70029097579643,40
7,3200,142.4925911947481,188.69843352458412,219.73959251148435,40
8,3600,158.1134030880271,210.95528758531339,246.8610764025218,40
9,4000,173.7505165402298,233.0494171187974,272.84882510976973,40
10,4400,188.87667905603624,254.97543877758582,297.8860424461792,40
11,4800,204.861193200995,276.91868253342335,322.94390404597567,40
12,5200,220.0275243583837,298.6203361773729,347.41249181205865,40
13,5600,235.08131780486968,320.0822699586186,371.6626376141298,40
14,6000,251.11668829609607,341.35778118123943,394.5724603261391,40
15,6400,267.80240393809123,362.54274758851363,417.48553470881916,40
16,6800,285.2706268271039,383.2915194575972,440.0484017289743,40
17,7200,302.59537523399695,403.78061307790864,462.9433545959067,40
18,7600,318.9775399647968,423.94162756267576,485.80802452923234,40
19,8000,335.78613071342744,443.9170635767661,506.9341556541976,40
20,8400,352.29360861500766,463.84898032004736,528.2177883274412,40
21,8800,368.6819623430344,483.33451117226383,550.6106144972117,40
22,9200,384.46259818942127,502.93779381609664,574.7292670028058,40
23,9600,399.7054916964562,522.0373081716397,600.3398046486358,40
24,10000,414.4667953091832,540.9942269036541,625.9490185034545,40
25,10400,428.72886542777235,559.7715968633433,650.9183351519638,40
26,10800,443.17501859680766,578.2550305437586,674.7349798600915,40
27,11200,457.2672655483387,596.8342893513324,698.7871366885552,40
28,11600,472.6138282136615,615.2313610345593,721.2393376327827,40
29,12000,488.174759551685,633.5634301884479,741.9784187917993,40
30,12400,503.46082599581234,652.0643641683379,762.7400845082642,40
31,12800,519.7951284515153,670.5652547490097,783.4990981892195,40
32,13200,534.9794659073087,689.0064537631896,804.3770615028137,40
33,13600,550.4152880622687,707.0719333565336,825.4296600439685,40
34,14000,566.1761885411776,725.010348872505,845.7146034144228,40
35,14400,582.7177608043427,743.0904154467687,865.4886743021251,40
36,14800,598.1148062620463,760.8143845481285,886.1789850031329,40
37,15200,613.7813370615377,778.2078358455607,906.9313521417013,40
38,15600,630.1226358626441,795.5470537125436,927.3849113470612,40
39,16000,646.3284153510173,812.1862016571201,946.6138007542824,40
40,16400,661.7848986552921,829.0279262980422,965.256944619754,40
41,16800,677.6279415262529,846.1254105099895,984.181304382882,40
42,17200,693.1289699408742,863.1095976150857,1002.7151911635428,40
43,17600,708.1224789968638,880.1722540259126,1021.6489996676489,40
44,18000,722.1059213604792,897.2418374273676,1041.0965504723965,40
45,18400,731.766555110553,914.3438809157,1060.3236530212887,40
46,18800,741.3774846337029,930.9753052136051,1078.5832869228993,40
47,19200,751.3942097919484,947.4381928692909,1096.0359569052466,40
48,19600,761.3790260094687,963.4861400412118,1112.8059078353474,40
49,20000,768.7951532901095,979.1924393081365,1132.0996873638012,40
50,20400,775.3182300788696,994.7370832007629,1151.8851477970902,40
51,20800,781.802281916267,1010.3896336414623,1170.9749354955836,40
52,21200,788.0754260748208,1025.4705600997136,1189.9105535430476,40
53,21600,793.9045083147917,1040.128489329151,1207.8931242712247,40
54,22000,797.9722639965053,1054.1239190090075,1225.6831875254102,40
