,autosamples,automin,automean,automax,factor
0,400,19.414484233569212,22.6473775034997,26.74253711563924,40
1,800,31.457105094640298,40.5730300094966,46.89894639909486,40
2,1200,44.043916872196455,55.036616437147764,62.34151049443489,40
3,1600,57.19850393465759,65.85556846937827,73.03475299255166,40
4,2000,65.59924149493607,74.49982938274128,83.77304561275845,40
5,2400,69.19158063959914,82.1977782918022,92.73759301314303,40
6,2800,73.65677036394493,88.17030651139697,99.04141704108396,40
7,3200,78.37323828115285,93.91385844680599,104.74378037538193,40
8,3600,82.98701083494807,98.93572922772212,110.58187285374127,40
9,4000,88.25672038357654,102.64412218464332,113.7895383049395,40
10,4400,93.73860786041763,106.33649023885512,117.7767944965046,40
11,4800,98.81898670207484,108.52036348280664,121.8365022003972,40
12,5200,101.93057202173115,110.30993884670477,126.77339518281822,40
13,5600,103.68384265322089,112.10914875609983,126.79334873507155,40
14,6000,106.72525104633739,114.38311119879762,128.78269763483942,40
15,6400,106.70517101041872,116.40268454676082,128.77104302107222,40
16,6800,106.64074060332356,117.96893294758456,130.38710584968487,40
17,7200,106.6500019545707,119.02571922116522,133.2826234568524,40
