,autosamples,automin,automean,automax,factor
0,400,18.259221019474253,21.898565366576292,25.25081720327585,40
1,800,32.33475981690745,38.51578976524356,42.34405534217099,40
2,1200,48.373737329779786,52.602685097962194,56.848268148474915,40
3,1600,57.29978574806872,63.72670729482707,73.05503946850148,40
4,2000,65.43923061885663,73.86357432624663,87.32010076068559,40
5,2400,70.56884183502112,82.46853001298823,97.76922552460819,40
6,2800,77.93598969454683,89.19268346417603,106.46402825620206,40
7,3200,81.39705561666969,93.98552167777608,111.43285049453168,40
8,3600,84.46986777610978,97.81877881951658,113.49372345204058,40
9,4000,87.9088120018082,101.93685508385909,116.3193154522909,40
10,4400,93.86221388873355,106.41842701087363,117.66694218913648,40
11,4800,98.89634206410177,110.27793527820292,118.34593974584128,40
12,5200,101.78015608591402,113.0634831762333,123.78004658389067,40
13,5600,105.1929734057881,115.80364649050848,128.2372562251502,40
14,6000,108.35251170740032,119.24962213103993,132.47052375035446,40
15,6400,110.92243789720528,123.34562603599498,137.39846016248248,40
16,6800,113.03213827581388,125.53742607148904,139.4983568662524,40
17,7200,114.42020595837253,127.4985868180327,140.86242973066442,40
18,7600,118.12679676697645,129.75225258262057,144.48149400925183,40
19,8000,118.6036797973297,131.01506254059152,146.2383164900315,40
20,8400,118.96809722800889,131.68852746020994,145.83937007466642,40
21,8800,119.77877832993329,132.90519710174374,146.42854032350414,40
22,9200,120.436228829349,134.36841658039012,146.261526892828,40
