# Column descriptions
# time - UTC
# observation_id - CPS internal ID
# tel - Instrument
# bjd - BJD_TDB
# mnvel - Relative RV [m/s]
# errvel - RV uncertainty [m/s]
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-]
# chi - Median reduced chi-squared for the observation over all chunks
# bc - Barycentric velocity at flux-weighted midpoint [m/s]
# svalue - Ca_HK S value
# svalue_err - Ca_HK S value uncertainty
# trv - Telluric calibrated absolute RV [km/s]
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s]
time,observation_id,tel,bjd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2020-03-08 13:29:39.823,j366.130,hires_j,2458917.062266,4.66714560925703,1.78629112243652,10159.0,1.13501119613647,-1646.384,0.1336,0.001,-38.55,0.1
2020-03-09 13:34:45.339,j366.296,hires_j,2458918.065803,8.97287448953012,1.66528224945068,10954.0,1.09656500816345,-1714.402,0.1505,0.001,-38.44,0.1
2020-03-10 13:19:21.804,j366.492,hires_j,2458919.055113,0.570414838917088,1.53084278106689,10895.0,1.07850766181946,-1770.432,0.1527,0.001,-38.45,0.1
2020-05-26 09:01:13.132,j367.100,hires_j,2458995.875846,5.94875343345449,1.91479527950287,8196.0,1.06679534912109,-3865.121,0.148,0.001,-38.47,0.1
2020-05-30 09:25:27.566,j368.99,hires_j,2458999.89268,15.7511824871264,1.70601391792297,11670.0,1.07301580905914,-3815.612,0.1524,0.001,-38.47,0.1
2020-06-02 10:16:39.278,j369.113,hires_j,2459002.928232,3.3317443901815,1.61166322231293,11660.0,1.10510230064392,-3788.375,0.1468,0.001,-38.58,0.1
2020-06-03 09:23:32.227,j369.288,hires_j,2459003.891345,0.677424843400317,1.56348788738251,11620.0,1.07859861850739,-3733.915,0.143,0.001,-38.41,0.1
2020-06-06 09:13:09.949,j370.121,hires_j,2459006.884143,-3.76270644202006,1.61869728565216,13385.0,1.07702243328094,-3657.58,0.1448,0.001,-38.24,0.1
2020-06-13 08:57:28.727,j371.687,hires_j,2459013.873249,-3.14433737141195,1.66075313091278,11611.0,1.05956292152405,-3452.72,0.1455,0.001,-38.36,0.1
2020-06-16 08:59:52.812,j372.33,hires_j,2459016.874917,-4.00370972833316,1.84427416324615,8830.0,1.06705856323242,-3355.693,0.1479,0.001,-38.45,0.1
2020-06-24 08:51:45.357,j374.94,hires_j,2459024.869275,-2.05629877073175,1.60392868518829,11601.0,1.06751680374146,-3042.912,0.1303,0.001,-38.48,0.1
2020-06-27 08:07:14.774,j375.87,hires_j,2459027.838365,-3.02414552790559,1.38245606422424,11804.0,1.09742248058319,-2884.501,0.1461,0.001,-38.56,0.1
2020-06-30 09:25:44.272,j375.697,hires_j,2459030.892874,3.08061967724093,1.62652575969696,11606.0,1.07066750526428,-2793.563,0.1492,0.001,-38.51,0.1
2020-07-04 08:32:15.272,j376.103,hires_j,2459034.855732,6.18217750980985,1.60412204265594,11374.0,1.09082853794098,-2568.063,0.1492,0.001,-38.5,0.1
2020-07-06 07:00:27.857,j376.479,hires_j,2459036.791989,4.87773452776239,1.45427656173706,11729.0,1.15034985542297,-2412.888,0.1466,0.001,-38.56,0.1
2020-07-08 08:10:15.455,j377.101,hires_j,2459038.840457,0.268602272114959,1.57527816295624,11632.0,1.08046984672546,-2351.952,0.1512,0.001,-38.65,0.1
2020-08-07 12:14:10.954,j382.402,hires_j,2459069.009849,5.41602011003467,2.55341339111328,6333.0,1.15785586833954,-601.634,0.124,0.001,-38.54,0.1
2020-08-10 10:28:45.653,j383.275,hires_j,2459071.93664,5.94739947646473,1.75747120380402,10543.0,1.10034215450287,-395.2,0.1447,0.001,-38.29,0.1
