# Column descriptions
        # utctime - UTC
        # observation_id - CPS internal ID
        # instrument - Instrument
        # bjd - BJD_TDB
        # svalue - Ca_HK S value
        # svalue_err - Ca_HK S value uncertainty
        # snr - signal to noise per pixel near the CaH line
        utctime,observation_id,instrument,bjd,svalue,svalue_err,snr
2019-11-28 04:34:06+00:00,j354.66,hires_j,2458815.692442,0.1378,0.001,6.26
2020-03-08 13:14:39+00:00,j366.130,hires_j,2458917.062266,0.1336,0.001,17.65
2020-03-09 13:26:04+00:00,j366.296,hires_j,2458918.065803,0.1505,0.001,21.26
2020-03-10 13:08:02+00:00,j366.492,hires_j,2458919.055113,0.1527,0.001,20.17
2020-05-26 08:49:12+00:00,j367.100,hires_j,2458995.875846,0.148,0.001,16.62
2020-05-30 09:16:20+00:00,j368.99,hires_j,2458999.89268,0.1524,0.001,21.13
2020-06-02 10:09:07+00:00,j369.113,hires_j,2459002.928232,0.1468,0.001,21.76
2020-06-03 09:15:02+00:00,j369.288,hires_j,2459003.891345,0.143,0.001,21.25
2020-06-06 09:02:21+00:00,j370.121,hires_j,2459006.884143,0.1448,0.001,22.54
2020-06-11 09:38:19+00:00,j371.291,hires_j,2459011.917612,0.1465,0.001,34.25
2020-06-13 08:48:50+00:00,j371.687,hires_j,2459013.873249,0.1455,0.001,21.21
2020-06-16 08:48:54+00:00,j372.33,hires_j,2459016.874917,0.1479,0.001,18.35
2020-06-24 08:42:05+00:00,j374.94,hires_j,2459024.869275,0.1303,0.001,20.72
2020-06-27 08:00:06+00:00,j375.87,hires_j,2459027.838365,0.1461,0.001,21.87
2020-06-30 09:16:49+00:00,j375.697,hires_j,2459030.892874,0.1492,0.001,20.89
2020-07-04 08:25:17+00:00,j376.103,hires_j,2459034.855732,0.1492,0.001,21.51
2020-07-06 06:54:00+00:00,j376.479,hires_j,2459036.791989,0.1466,0.001,21.8
2020-07-08 08:02:08+00:00,j377.101,hires_j,2459038.840457,0.1512,0.001,21.15
2020-08-07 12:04:04+00:00,j382.402,hires_j,2459069.009849,0.124,0.001,11.31
2020-08-10 10:18:42+00:00,j383.275,hires_j,2459071.93664,0.1447,0.001,18.25
2020-08-11 08:57:43+00:00,j383.468,hires_j,2459072.879961,0.1478,0.001,20.49
2020-08-16 09:03:59+00:00,j384.85,hires_j,2459077.883443,0.1402,0.001,20.69
2020-08-25 08:49:57+00:00,j385.176,hires_j,2459086.874789,0.09475,0.001,12.85
2020-08-28 08:51:55+00:00,j385.684,hires_j,2459089.875434,0.1397,0.001,20.34
2020-08-29 07:14:39+00:00,j385.878,hires_j,2459090.807659,0.1532,0.001,20.78
2020-08-30 07:17:58+00:00,j385.1079,hires_j,2459091.810371,0.1496,0.001,20.12
2020-08-31 07:11:20+00:00,j385.1283,hires_j,2459092.804622,0.1521,0.001,20.99
